arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
9885,22952,20434,5386.5,8823,7996,5864.5,7711,22184.5,27144,33978,21825,18484.5,24103
25586,32138.5,12404,24414.5,20855.5,29727,26685,26008.5,29773,18325,20932.5,24296.5,35060.5,14330.5
36345,31758,22607.5,12548.5,30496.5,8958.5,272.5,5857,22143,26601,30485,15375,6344,20052.5
14632.5,6147,4962.5,21468.5,13652.5,24031,21275.5,23788,27388,6836,32293.5,35235.5,14906,24028.5
30134,1934.5,2233,1681.5,8407.5,4546.5,13702,2532,7519.5,9432.5,33361.5,28479.5,8472,22431
17948,7779,5147,1503,18112.5,32233,22379,1787,31416,14569,8029,16982,20872,26511
24020,34411,26323,28928.5,20059,31737,6508.5,34097,2267.5,29385.5,30561.5,34954,11009.5,1327.5
18105.5,23844.5,5957.5,21597,29863.5,34893.5,20807,22311,36825,18317,34424.5,26676.5,28217,36631
25966.5,17675.5,7517,5418.5,32477.5,32286.5,19455.5,14332.5,30124,17166.5,33737.5,29862.5,4121,15444.5
2542.5,25741.5,12831,29700,27204,15002.5,9162,31922.5,7951,28520.5,32216.5,24977.5,11688.5,19237.5
15679,28083.5,24027.5,35103.5,18682.5,28792.5,24597,33521.5,4183,27783.5,32062,32231,2678,1370.5
1945.5,26005.5,7062.5,34451,36667.5,26636.5,21451,34542.5,10592,24799.5,36416,26199.5,7020.5,24734.5
25142,29022.5,8936.5,23731,36785.5,36771.5,3648.5,26739.5,34404,9895,24303,29594.5,16120.5,11829.5
28249,483,1546.5,2183,7538,10885,9585,4010.5,36027,495,5087.5,22239,24480.5,35076
18935,34529,17730.5,18806.5,15057,19356.5,19776,19632,19315,16288,34983,28819,24605,31654.5
26464,10380,11278.5,7060.5,9178,13892.5,1774.5,10059,17263,4529,33684,33621.5,9820,16660.5
15231.5,5174,1730,18762.5,8806.5,1052,7287.5,20160,24253,5388.5,36497.5,33180.5,26723.5,6636
29737.5,31264,15728,30148,22169.5,27981,29969,34350,1077,20690,35128.5,33918,31536.5,1687
